size,Triton,Torch
4096.000000,8.677966,8.581006
8192.000000,17.655172,16.879121
16384.000000,34.909091,33.210811
32768.000000,67.889504,65.361700
65536.000000,129.347364,126.680417
131072.000000,253.360834,245.760006
262144.000000,455.111110,434.973444
524288.000000,759.104267,747.558951
1048576.000000,1224.971964,1198.829288
2097152.000000,1676.827323,1645.255224
4194304.000000,2134.143757,2137.043431
8388608.000000,2518.597350,2508.555019
16777216.000000,2753.975270,2748.560983
33554432.000000,2932.396284,2935.817052
67108864.000000,3016.399869,3017.846768
134217728.000000,3062.280954,3066.385333
