N,Triton,Torch,Naive Softmax
256.000000,681.096288,929.371222,257.976634
384.000000,1010.053379,1173.755636,335.736111
512.000000,1288.843088,1347.415573,399.695868
640.000000,1468.997657,1469.358675,450.935510
768.000000,1627.377041,1664.355222,483.393481
896.000000,1750.535361,1739.948356,512.116249
1024.000000,1932.680310,1834.586042,529.382529
1152.000000,1943.614267,941.504636,538.369046
1280.000000,2010.196408,1017.753342,536.392355
1408.000000,2081.416040,1109.104940,536.358857
1536.000000,2154.900518,1189.770094,536.780343
1664.000000,2207.236713,1239.969171,540.004765
1792.000000,2258.245436,1308.380704,541.741177
1920.000000,2344.482195,1397.010792,538.564585
2048.000000,2366.984799,1457.026955,540.340620
2176.000000,2234.085908,1508.491496,540.053238
2304.000000,2258.646354,1561.034453,544.423834
2432.000000,2328.524844,1612.287249,546.816332
2560.000000,2324.639408,1683.637825,547.766955
2688.000000,2346.912403,1744.696012,550.120095
2816.000000,2406.976013,1791.707229,549.441295
2944.000000,2429.105886,1800.114128,551.148551
3072.000000,2435.607813,1842.679331,550.310921
3200.000000,2441.375518,1932.113455,555.506051
3328.000000,2494.541222,1932.351288,555.313821
3456.000000,2515.273738,1959.087862,557.415763
3584.000000,2501.801992,2007.529870,559.034962
3712.000000,2500.990020,2031.171824,561.361862
3840.000000,2536.434226,2063.838826,561.883945
3968.000000,2566.761256,2067.882264,565.213376
4096.000000,2596.391478,2099.961709,563.876851
4224.000000,2492.595012,1842.160534,567.824775
4352.000000,2457.766068,1826.673385,570.905061
4480.000000,2516.533679,1808.171369,572.823114
4608.000000,2518.435472,1824.526054,574.487242
4736.000000,2538.824273,1840.454227,575.837176
4864.000000,2558.384338,1873.267784,576.904290
4992.000000,2546.164802,1886.430703,580.603153
5120.000000,2579.640277,1913.298345,581.106161
5248.000000,2569.800760,1944.836076,582.354816
5376.000000,2557.804079,1986.283106,585.475813
5504.000000,2602.061772,2020.280228,583.992111
5632.000000,2602.220778,2028.267089,587.022809
5760.000000,2614.786053,2057.056229,589.850600
5888.000000,2567.919527,2100.475426,590.897006
6016.000000,2626.015839,2112.252360,592.529841
6144.000000,2626.247286,2139.318275,591.101496
6272.000000,2636.198140,2173.065490,594.532473
6400.000000,2654.345662,2187.828270,596.231990
6528.000000,2654.226246,2221.292116,597.951282
6656.000000,2666.557661,2237.015869,598.490209
6784.000000,2653.280465,2257.498654,598.861798
6912.000000,2680.441487,2274.426629,599.904459
7040.000000,2658.757243,2282.394594,601.124242
7168.000000,2648.775958,2321.127294,601.836018
7296.000000,2693.094823,2347.445112,602.074762
7424.000000,2676.413778,2366.104895,605.285010
7552.000000,2730.326144,2379.939279,605.308062
7680.000000,2706.511104,2393.275832,605.043336
7808.000000,2713.628553,2420.319795,607.308152
7936.000000,2741.628785,2442.863318,605.540995
8064.000000,2660.254821,2469.614138,609.315092
8192.000000,2738.623357,2499.818988,598.229757
8320.000000,2696.506697,2337.634406,593.398561
8448.000000,2686.307460,2303.016655,593.172043
8576.000000,2672.885430,2296.953995,595.013487
8704.000000,2649.355776,2288.662248,596.502464
8832.000000,2653.157244,2276.366895,596.757621
8960.000000,2668.442443,2292.592882,598.657142
9088.000000,2646.300552,2291.247494,599.593665
9216.000000,2641.086716,2310.113685,602.346918
9344.000000,2651.480143,2299.785128,603.279830
9472.000000,2670.055250,2313.587024,605.013825
9600.000000,2656.944066,2326.719134,606.824121
9728.000000,2667.607924,2342.049396,608.295363
9856.000000,2623.566317,2363.034723,608.883912
9984.000000,2654.541344,2374.145826,610.600942
10112.000000,2668.934574,2383.695031,611.431919
10240.000000,2659.217785,2403.926575,613.290348
10368.000000,2660.124115,2411.390837,610.397003
10496.000000,2616.501262,2430.200906,611.055565
10624.000000,2653.218033,2455.131220,611.483859
10752.000000,2623.204331,2454.600122,611.737530
10880.000000,2695.557402,2463.134968,612.005915
11008.000000,2690.150568,2475.792335,614.434545
11136.000000,2650.896010,2482.209487,614.263115
11264.000000,2680.432083,2510.455328,615.733050
11392.000000,2701.330768,2522.121644,617.158850
11520.000000,2707.875930,2536.527960,617.836174
11648.000000,2701.826769,2523.030403,618.695064
11776.000000,2669.313571,2537.769293,619.842977
11904.000000,2710.059981,2551.730029,620.936873
12032.000000,2712.565995,2571.216022,621.535838
12160.000000,2726.527228,2586.347716,623.020784
12288.000000,2704.288493,1694.778477,624.479964
12416.000000,2654.385953,1651.921920,622.871734
12544.000000,2709.900385,1640.023468,622.906273
12672.000000,2728.941735,1635.863158,622.373898
